epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,67104.7,0.67745,0.50727,1.18881,0.6802,0.82781,0.76991,0.48521,1.2806,0.95326,2.27599,0.000445756,0.000445756,0.000445756
76,79311.9,0.6772,0.4991,1.18137,0.70746,0.75207,0.75072,0.4844,1.24952,0.94764,2.24478,0.000429253,0.000429253,0.000429253
77,90971.7,0.67001,0.49449,1.18569,0.66653,0.85059,0.76829,0.47449,1.28512,0.94039,2.28029,0.000412749,0.000412749,0.000412749
78,105686,0.65067,0.48922,1.16929,0.6894,0.7756,0.74652,0.46985,1.24039,0.95573,2.21507,0.000396246,0.000396246,0.000396246
79,117012,0.6463,0.4724,1.16263,0.73802,0.76148,0.76073,0.47509,1.29153,0.95084,2.33625,0.000379743,0.000379743,0.000379743
80,129082,0.6391,0.4795,1.15456,0.74899,0.7952,0.80848,0.50934,1.2866,0.88539,2.36724,0.000363239,0.000363239,0.000363239
81,140990,0.63449,0.48077,1.15852,0.76497,0.77057,0.77307,0.48086,1.28721,0.91248,2.37675,0.000346736,0.000346736,0.000346736
82,153828,0.64548,0.47517,1.17473,0.64333,0.8248,0.73569,0.46286,1.30457,1.003,2.33922,0.000330233,0.000330233,0.000330233
83,166286,0.63503,0.46665,1.15517,0.68981,0.77803,0.75245,0.47647,1.25544,0.96953,2.29157,0.000313729,0.000313729,0.000313729
84,178252,0.62755,0.45705,1.14916,0.72478,0.74885,0.77419,0.48773,1.26536,0.96087,2.34177,0.000297226,0.000297226,0.000297226
85,190660,0.62888,0.46312,1.15469,0.66396,0.90722,0.78628,0.49054,1.28339,0.95777,2.33551,0.000280723,0.000280723,0.000280723
86,202370,0.60802,0.45039,1.13698,0.68318,0.80064,0.7631,0.46805,1.33048,0.98852,2.45016,0.00026422,0.00026422,0.00026422
87,212756,0.60919,0.44463,1.13472,0.73444,0.81475,0.77493,0.49227,1.27893,0.96918,2.36405,0.000247716,0.000247716,0.000247716
88,226426,0.61101,0.44139,1.14,0.76589,0.7895,0.77938,0.48561,1.30382,0.94021,2.40048,0.000231213,0.000231213,0.000231213
89,240095,0.59107,0.42884,1.12556,0.67511,0.83286,0.74754,0.48059,1.27139,1.01661,2.38149,0.00021471,0.00021471,0.00021471
90,251225,0.59485,0.43428,1.13269,0.76656,0.77587,0.78937,0.49772,1.25952,0.93041,2.32817,0.000198206,0.000198206,0.000198206
91,265051,0.47305,0.32222,1.14938,0.74572,0.80313,0.76057,0.47106,1.2772,0.93406,2.41234,0.000181703,0.000181703,0.000181703
92,277210,0.45161,0.26395,1.12305,0.76002,0.78844,0.78614,0.49751,1.26445,0.91756,2.42154,0.0001652,0.0001652,0.0001652
93,289184,0.44065,0.26549,1.11987,0.80897,0.77769,0.77814,0.49521,1.27385,0.90478,2.43793,0.000148696,0.000148696,0.000148696
94,304976,0.4259,0.26197,1.08581,0.79318,0.78844,0.78789,0.50422,1.26666,0.903,2.43385,0.000132193,0.000132193,0.000132193
95,319379,0.41608,0.25634,1.07956,0.75845,0.79574,0.78905,0.50425,1.26302,0.90733,2.4329,0.00011569,0.00011569,0.00011569
96,355578,0.40461,0.25807,1.0819,0.79698,0.77915,0.79987,0.50884,1.25827,0.91228,2.44647,9.91865e-05,9.91865e-05,9.91865e-05
97,375051,0.41346,0.24974,1.07221,0.7587,0.80363,0.79053,0.50883,1.25404,0.9491,2.46567,8.26832e-05,8.26832e-05,8.26832e-05
98,390796,0.39798,0.25045,1.07089,0.75893,0.78437,0.77336,0.49079,1.26637,0.96793,2.48675,6.61799e-05,6.61799e-05,6.61799e-05
99,404100,0.39028,0.24883,1.0742,0.72067,0.80593,0.77156,0.4874,1.27282,0.96727,2.49465,4.96766e-05,4.96766e-05,4.96766e-05
100,419641,0.38525,0.24611,1.05496,0.77246,0.79785,0.7885,0.49453,1.26711,0.94522,2.49707,3.31733e-05,3.31733e-05,3.31733e-05
